contract_id,timestamp,contract_name,commercial_name,country_code,cities
1,1522022702,"Rouen","cy'clic","FR","Rouen"
2,1514308981,"Paris","Velib","FR","Arcueil/Aubervilliers/Bagnolet/Boulogne Billancourt/Charenton/Clichy/Fontenay-sous-Bois/Gentilly/Issy les Moulineaux/Ivry/Joinville/Le Kremlin Bicêtre/Le Pré St Gervais/Les Lilas/Levallois-Perret/Malakoff/Montreuil/Montrouge/Neuilly/Nogent/Pantin/Paris/Puteaux/Saint Cloud/Saint Denis/Saint Mandé/Saint Maurice/Saint Ouen/Suresnes/Vanves/Vincennes"
3,1522022702,"Toulouse","Vélô","FR","Toulouse"
4,1522022702,"Luxembourg","Veloh","LU","Luxembourg"
5,1522022702,"Dublin","dublinbikes","IE","Dublin"
6,1522022702,"Valence","Valenbisi","ES","Valencia"
7,1522022702,"Stockholm","Cyclocity","SE","Stockholm"
8,1522022702,"Goteborg","Göteborg","SE","Göteborg"
9,1522022702,"Santander","Tusbic","ES","Santander"
10,1522022702,"Lund","Lundahoj","SE","Lund"
11,1522022702,"Amiens","Velam","FR","Amiens"
12,1522022702,"Lillestrom","Bysykkel","NO","Lillestrom"
13,1522022702,"Mulhouse","VéloCité","FR","Mulhouse"
14,1522022702,"Lyon","Vélo'V","FR","Caluire-et-Cuire/Lyon/Vaulx-En-Velin/Villeurbanne"
15,1522022702,"Ljubljana","Bicikelj ","SI","Ljubljana"
16,1522022702,"Seville","SEVICI","ES","Sevillia"
17,1522022702,"Namur","Li bia velo","BE","Namur"
18,1522022702,"Nancy","vélOstan'lib","FR","Nancy"
19,1522022702,"Creteil","Cristolib","FR","Créteil"
20,1522022702,"Bruxelles-Capitale","villo","BE","Anderlecht/Berchem-Sainte-Agathe/Bruxelles/Etterbeek/Forest/Ganshoren/Ixelles/Jette/Koekelberg/Molenbeek-Saint-Jean/Saint-Gilles/Saint-Josse-ten-noode/Schaerbeek/Uccle/Woluwe-Saint-Lambert/Woluwe-Saint-Pierre"
21,1522022702,"Cergy-Pontoise","Velo2","FR","Cergy/Courdimanche/Eragny-sur-Oise/Neuville-sur-Oise/Pontoise/Saint-Ouen-L'Aumone/Vauréal"
22,1522022702,"Vilnius","Cyclocity","LT","Vilnius"
23,1522022702,"Toyama","cyclocity","JP","Toyama"
24,1522022702,"Kazan","Veli'k","RU","Kazan"
25,1522022702,"Marseille","Le vélo","FR","Marseille"
26,1522022702,"Nantes","Bicloo","FR","Nantes"
27,1522022702,"Besancon","VéloCité","FR","Besançon"
5946480,1522022702,"Brisbane","CityCycle","AU","Brisbane"
